associatedTaxa,collectedBy,country,firstPoliticalUnit,habitat,identifiedBy,latestScientificName,locality,maximumEventDate,minimumEventDate,municipality,originalMethod,otherCatalogNumbers,recordNumber,secondPoliticalUnit,secondaryCollectors,substrate,typeStatus,verbatimCollectors,verbatimCoordinates,verbatimDateIdentified,verbatimElevation,verbatimEventDate,verbatimIdentification,verbatimLocality
N/A,R. B,Ceylon,N/A,Forest,D.B. Lellinger,Pyrrosia lanceolata (L.) Farw.,"North Western Province, Kurunegala District, Dambulla-Kuskanda Hill",N/A,1977-01-05,N/A,Typed,2014294,77/53,N/A,A. J. Faden,N/A,no type status,R.B & A.J.Faden,"ca. 7'37'II, 80°24'30""E.",1979,600 m,5 Jan. 1977,Pyrrosia lanceolata (L.) Farw.,"North Western Province, Kurunegala District, Dambulla-Kuskanda Hill, ca. 7'37'II, 80°24'30""E."
N/A,Albert N. Steward,China,Kweichow Province,"Moist brushy slopes, Soil black",N/A,Thelypteris squamigera (Hook.) Ching,Tai Yang Shan,N/A,1931-09-06,N/A,Typed,779919,344,N/A,"C. Y. Chiao, H. C. Cheo",soil,no type status,"Albert N. Steward, C. Y. Chiao, and H. C. Cheo",N/A,N/A,980 m.,"Sept. 6, 1931",Dryopteris squamigera (Hook.) Kuntze,Tai Yang Shan
N/A,Julie F. Barcelona,Philippines,Visayas,"Ridges, shaded & moist areas",Julie F. Barcelona,Selaginella cf. repanda,"Northwest Panay Peninsula, Mt. Madja-as, shaded moist places",1989-11-00,1989-11-00,N/A,Typed,PNH no. 190235,48,Antique,N/A,soil,no type status,Julie F. Barcelona,N/A,Nov. 1989,N/A,Nov. 1989,Selaginella cf. repanda,"Visayas, Panay Isl., Antique, Culasi, Northwest Panay Peninsula, Mt. Madja-as, shaded moist places"
N/A,L. Fay,Liberia,N/A,"On tree trunk about 10 feet from ground; common in groves of rubber trees, on trunks",N/A,Drynaria laurentii (Christ.) Hieron.,Cuttington University College,N/A,1985-04-11,Cuttington University College,Typed,N° 2111378,1206,N/A,A. Fay,bark,no type status,L. & A. Fay,N/A,N/A,250 m.,11 Apr 1985,Drynaria laurentii (Christ.) Hieron.,"Cuttington University College. Alt. 250 m. On tree trunk about 10' from ground; common in groves of rubber trees, on trunks."
N/A,H. St. John,Austral Islands,N/A,On mossy tree limb,E.B. Copeland,Humata banksii Alston,"Northwest slope of Tere, Teti woods",1934-08-26,1934-08-26,N/A,Typed,1435764,16662,N/A,N/A,bark,no type status,H. St. John,N/A,N/A,altitude 350 meters,"Aug. 26, 1934",Humata banksii Alston,"Northwest slope of Tere, Teti woods"
N/A,T. G. Yuncker,Jamaica,Portland,rain forest,N/A,Selaginella plana (Diver.) Hieron.,"On wet embankment along trail, John Crow Mountains, 1.5-2 miles southwest of Ecclesdown",1958-03-30,1958-03-30,N/A,Typed,1481955,"18,561",N/A,N/A,N/A,no type status,T. G. Yuncker,N/A,N/A,1500-2500 ft.,"Mar. 30, 1958",Selaginella plana (Diver.) Hieron.,"On wet embankment along trail, rain forest, John Crow Mts., 1.5-2 miles southwest of Ecclesdown. Alt. 1500-2500 ft."
N/A,A. Caruel,Italy,N/A,N/A,Joan H. Wlce,Lycopodium complanatum L.,Salita alla Boscaglia presso Sospello in Valdesia,1871-00-00,1871-00-00,N/A,Typed,1028302,851,N/A,N/A,N/A,no type status,A. Caruel,N/A,1962,N/A,1871,Lycopodium complanatum L.,Salita alla Boscaglia presso Sospello in Valdesia
N/A,G. J. Chamberlain,New Zealand,N/A,N/A,N/A,Trichomanes reniforme,Ohakune,1911-10-15,1911-10-15,Ohakune,Typed,1407795,N/A,N/A,N/A,N/A,no type status,G.J. Chamberlain,N/A,N/A,N/A,"Oct. 15, 1911",Trichomanes reniforme,Ohakune
N/A,R. L. Wilbur,Dominica,St. Paul,Disturbed rainforest,R. L. Wilbur,Cnemidaria grandifolia (Willd.) Proctor var. grandifolia,upper Layou Valley about 1.5 miles from Clarke Hall towards Pont Casse,N/A,1964-08-02,N/A,Typed,N/A,1670026,N/A,"H. A. Hespenheide, D. R. Wiseman",N/A,no type status,"R. L. Wilbur, H. A. Hespenheide, D. R. Wiseman",N/A,1971,N/A,2 August 1964,Cnemidaria grandifolia (Willd.) Proctor var. grandifolia,Parish of St. Paul: Disturbed rainforest in the upper Layou Valley about 1.5 miles from Clarke Hall towards Pont Casse.
N/A,R. B. A. Faden,Ceylon,Central Province,Shady moist bank near stream,N/A,Thelypteris,between mile posts 45/3 and 45/4 on Nuwara Eliya-Kandy road,N/A,1977-01-02,N/A,Typed,2089703,N/A,Nuwara Eliya District,N/A,soil,no type status,R.B.A. Faden,"6°59'50"" 80°45'E",N/A,ca 1950 m,2 Jan 1977,Thelypteris,between mile posts 45/3 and 45/4 on Nuwara Eliya-Kandy road
N/A,H. Sydow,Germany,Sachsen,Auf Blättern von Holcus lanatus,N/A,Entyloma crastophilum Sacc.,"Grossen Winterberge ""Zwiesel bei Schmilka""",N/A,1903-08-14,Zwiesel bei Schmilka,Typed,C0272257F,67,N/A,P. Sydow,leaves,no type status,H. et P. Sydow,N/A,N/A,N/A,14. 8. 1903,"Entyloma crastophilum Sacc. Michelia I, p. 540; Sacc. Syll. VII, p. 491.","am Grossen Winterberge ""Zwiesel bei Schmilka"""
Moliniae,O. Mattirolo,Italia,prov. Como,N/A,N/A,Neovossia Moliniae (Thüm.) Körn.,Rodero in ovarii Moliniae coeruleae,N/A,1895-09-27,Rodero,Typed,C0272323F,876,N/A,G. Lagerheim,N/A,no type status,"O. Mattirolo, comm. G. Lagerheim",N/A,N/A,N/A,27/9 1895,Neovossia Moliniae (Thüm.) Körn.,"Rodero, prov. Como in ovarii Moliniae coeruleae"
N/A,Richard W. Pohl,Costa Rica,Puntarenas,Carpeting the ground at the margin of forest and savanna,N/A,Oplismenus setarius (Lam.) Roem. & Schult.,5 kilometers northwest of the Carretera Interamericana in Boruca area,N/A,1968-09-25,N/A,Typed,C0272329F,11146,N/A,Gerrit Davidse,soil,no type status,"Richard W. Pohl, Gerrit Davidse",N/A,N/A,elev. 450 m.,25 September 1968,Oplismenus setarius (Lam.) Roem. & Schult.,5 KM NW of the Carretera Interamericana in Boruca area
On Streptopus rosens.,E. W. D. Holway,Canada,British Columbia,N/A,N/A,Tuburcinia Clintoniae,Glacier,1901-08-08,1901-08-08,N/A,Typed,C0272400F,1789,N/A,N/A,N/A,no type status,E. W. D. Holway,N/A,N/A,N/A,"Aug. 8, 1901","Tuburcinia Clintoniae, Kom.","Glacier, Brit. Columbia, Aug. 8, 1901."
Anemones nemorosae,F. Bubak,Bohemia,N/A,ad folia viva Anemones nemorosae,N/A,Tuburcinia anemones (Pers.) Liro,ad Poděbrad,1900-05-00,1900-05-00,Poděbrad,Typed,CO272404F,3239,N/A,N/A,leaves,no type status,F. Bubak,N/A,N/A,N/A,Majo,Tuburcinia anemones (Pers.) Liro,"ad folia viva Anemones nemorosae ad Poděbrad, m. Majo."
Vaccinium ovatum Pursh,Harold E. Parks,United States,California,N/A,N/A,Exobasidium Vaccinii (Fuckl.) Wor.,Trinidad,1934-06-03,1934-06-03,Trinidad,Typed,C0272225F,13207,Humboldt County,Joseph P. Tracy,N/A,no type status,Harold E. Parks and Joseph P. Tracy,N/A,N/A,N/A,"June 3, 1934",Exobasidium Vaccinii (Fuckl.) Wor.,Trinidad.
Arctostaphylos patula Greene.,Lee Bonar,United States,California,N/A,N/A,Exobasidium Vaccinii (Fckl.) Wor.,"Manzanita Lake, Lassen National Park",1954-08-21,1954-08-21,N/A,Typed,C0272229F,890,Shasta County,N/A,N/A,no type status,Lee Bonar,N/A,N/A,N/A,21 August 1954,Exobasidium Vaccinii (Fckl.) Wor.,"Manzanita Lake, Lassen National Park, Shasta County."
Arbutus Menziesii,H. E. Parks,United States,California,Seriously affecting the young shoots.,N/A,Exobasidium Vaccinii,"Kneeland, Bald Hills",N/A,1930-09-15,N/A,Typed,C0272218F,238,Humboldt County,J. P. Tracy,N/A,no type status,H. E. Parks and J. P. Tracy,N/A,N/A,N/A,"Sept. 15, 1930","Exobasidium Vaccinii (Fckl.) Wor. Host, Arbutus Menziesii Pursh.","Kneeland, Bald Hills"
"Cyathea dealbata, C. smithii, Phyllocladus, Podocarpus, etc.",H.k.,New Zealand,N/A,"In humus under Cyathea dealbata, C. smithii, Phyllocladus, Podocarpus, etc.",N/A,Crucibulum laeve (Huds.) Kambly,"Kuaotunu Valley, Coromandel Peninsula",1968-07-05,1968-07-05,N/A,Typed,1017207,68/641,N/A,N/A,humus,no type status,H.K.,N/A,N/A,N/A,5.VII.1968,Crucibulum laeve (Huds.) Kambly,"Kuaotunu Valley, Coromandel Peninsula, N.Z."
N/A,Singer,Ecuador,Napo,Ad terram in hylaea,N/A,Hygrocybe dimorphosidiata Sing.,Lago Agrio,1973-05-14,1973-05-14,Lago Agrio,Typed,1017827,'B 7463,N/A,N/A,soil,TYPE,Singer,N/A,N/A,N/A,14 V 1973,Hygrocybe dimorphosidiata Sing.,Lago Agrio
"Sphagnum spp., Rubus geoides",Singer,Argentina,Tierra del Fuego,Gregarious in bog margin,N/A,Hygrocybe fuegiana Sing,"road Ushuaya-Lago Fagnano, southwest of highest point",1988-02-23,1988-02-23,N/A,Typed,F1075922,M0517,Departamento Ushuaia,N/A,soil,Holotype,Singer M0517,N/A,N/A,N/A,23 II 1988,Hygrocybe fuegiana Sing (= H. rosea sensu Horak),"va. road Ushuaya-Lago Fagnano, SW of highest point"
N/A,P. Ponce de Leon,Alaska,N/A,N/A,N/A,Amanita,"At or above timberline, windswept slopes of mountains about 20-30 miles north of Mt. McKinley",1978-09-21,1978-09-21,N/A,Typed,C0209265F,296,N/A,N/A,soil,no type status,P. Ponce de Leon,N/A,N/A,N/A,"September 21, 1978",Amanita,"At or above timberline, windswept slopes of mountains about 20-30 miles north of Mt. McKinley, with mosses, lichens, Vaccinium spp. and other Ericads."
N/A,P. Ponce de Leon,Alaska,N/A,On high slopes above timberline,N/A,Lycoperdon,"At or above timberline, windswept slopes of mountains 20-30 miles north of Mt. McKinley",1978-09-21,1978-09-21,N/A,Typed,C0225578F,303,N/A,N/A,soil,no type status,P. Ponce de Leon,N/A,N/A,N/A,"September 21, 1978",Lycoperdon,"At or above timberline, windswept slopes of mountains 20-30 miles north of Mt. McKinley. With mosses. lichens, Vaccinium spp. and other Ericads."
N/A,P. Ponce de Leon,United States,Alaska,"In hummocks composed of grasses, lichens, mosses and Ericads, under Alnus, Prunus, Betula species.",N/A,N/A,"Boggy area south of Yukon, just below the Chatanika River, about 25 miles north of Fairbanks",1978-09-20,1978-09-20,N/A,Typed,F 1075800,267,N/A,N/A,soil,no type status,P. Ponce de Leon,N/A,N/A,N/A,"September 20, 1978",(Agaricaceae),"Boggy area south of Yukon, just below the Chatanika River, about 25 miles north of Fairbanks, Alaska. In hummocks composed of grasses, lichens, mosses and Ericads, under Alnus, Prunus, Betula species."
N/A,Chr. King,New Zealand,South Island,N/A,Singer,Psilocybe muliercula Sing. & Smith,[precise locality unknown],1988-00-00,1988-00-00,N/A,Typed,C0237407F,F1089947,N/A,N/A,N/A,no type status,"Chr. King, Singer",N/A,N/A,N/A,1988,Psilocybe muliercula Sing. & Smith,N/A
On Vitis tiliifolia H. & B.,Paul C. Standley,Guatemala,Huehuetenango,N/A,Arthur,Phakopsora vitis (Him.) Syd.,"Near crossing of Río San Juan Ixtán, east of San Rafael Petzal",1941-01-09,1941-01-09,San Rafael Petzal,Typed,CO275073F,82917,N/A,N/A,N/A,no type status,Paul C. Standley,N/A,N/A,about 1730 m.,"Jan. 9, 1941",Phakopsora vitis (Him.) Syd.,"Near crossing of Río San Juan Ixtán, east of San Rafael Petzal, alt. about 1730 m."
Rubus eriocarpus Liebm.,Paul C. Standley,Guatemala,Quezaltenango,Oak-pine forest,Arthur,Gervasía,"Oak-pine forest, above Los Vahos, Cerro Quemado",1941-02-05,1941-02-05,N/A,Typed,C0275088F,86140,N/A,N/A,N/A,no type status,PAUL C. STANDLEY,N/A,N/A,2900–3000 m.,"FEB. 5, 1941",Maimia rubi (Sied. & Holw.) Jacks. On Rubus eriocarpus Liebm.,"Dept. Quezaltenango: Oak-pine forest, above Los Vahos, Cerro Quemado, alt. 2900–3000 m."
Phyllanthus sp.,E. W. D. Holway,Guatemala,Solola,N/A,E. B. Mains,Ravenelia appendiculata Lagerh. & Diet.,Solola,1915-01-27,1915-01-27,N/A,Typed,C0291873F,27,N/A,N/A,N/A,no type status,E. W. D. Holway,N/A,N/A,N/A,"Jan. 27, 1915",Ravenelia appendiculata Lagerh. & Diet. on Phyllanthus sp.,"Solola, Guatemala"
Tubercularia vulgaris,W.g. Bramley,N/A,Yorkshire,On Crataegus,T. Petch,Nectria cinnabarina (Tode ex Fr.) Fr.,Bolton Percy,N/A,N/A,Bolton Percy,Typed,C0264367F,N/A,N/A,N/A,N/A,no type status,W.G. Bramley,N/A,10 Jan. 1938,N/A,N/A,Nectria cinnabarina (Tode ex Fr.) Fr. with Tubercularia vulgaris,"On Crataegus, Bolton Percy, Yorkshire."
N/A,H. Imshaug,Chile,Magallanes,N/A,N/A,Xanthoparmelia mougeotii (Schaer.) Hale,low hill near Primera Angostura,N/A,1971-10-09,N/A,Typed,N/A,49793,N/A,K. Ohlsson,N/A,no type status,H. Imshaug & K. Ohlsson,"52° 27' S., 69° 36' W.",N/A,N/A,9 October 1971,Xanthoparmelia mougeotii (Schaer.) Hale,Scattered Anthobryum and Berberis on low hill near Primera Angostura.
N/A,W. L. Culberson,South Africa,Western Cape,On twigs of Zygophyllum sp.,W. L. Culberson,Xanthoria parietina (L.) Th.Fr.,"15 kilometers southeast of Oudtshoorn, on the road above Blossoms",N/A,1998-09-03,N/A,Typed,N/A,22493,N/A,R. Ornduff,twigs,no type status,W. L. Culberson & R. Ornduff,N/A,N/A,N/A,"September 3, 1998","Xanthoria parietina (L.) Th.Fr. in N. Acta Reg. Soc. Sc. Upsal., ser. 3, 3:67. 1861.","15 km SE of Oudtshoorn, on the road above Blossoms."
N/A,Henry A. Imshaug,Tobago,N/A,Scattered cultivations in clearings of rain forest,N/A,Bamblyiospora chloritis (Nyl.) Zahlbr.,"Main Ridge along ""Mt. St. George - Castara Track"" near Castara",N/A,1963-09-21,N/A,Typed,N/A,31340,N/A,Frederick H. Imshaug,N/A,no type status,Henry A. Imshaug & Frederick H. Imshaug,N/A,N/A,ca. 1200 ft.,21 September 1963,Bamblyiospora chloritis (Nyl.) Zahlbr.,"Scattered cultivations in clearings of rain forest, ca. 1200 ft., Main Ridge along ""Mt. St. George - Castara Track"" (near Castara)"
Ilex glabra,Edward M. Wheeler,United States,Florida,N/A,R. J. Salm,Hafellia bahiana (Malme) Sheard,"Tiger Creek Preserve, just to right of Wakeford Road Entrance",1989-01-07,1989-01-07,N/A,Typed,Lumbsch - 9401,9401,Polk County,N/A,bark,no type status,Edward M. Wheeler,N/A,20 August 2015,N/A,7 Jan 1989,Buellia bahiana Malme on Ilex glabra,"POLK COUNTY: Tiger Creek Preserve, just to right of Wakeford Road Entrance"
N/A,Shirley Tucker,United States,Louisiana,Common on Taxodium,R. J. Salm,Amandinea punctata (Hoffm.) Coppins & Scheid.,"Fontainebleau State Park, north shore of Lake Pontchartrain",1977-03-17,1977-03-17,N/A,Typed,10469,16863,St. Tammany Parish,N/A,bark,no type status,Shirley Tucker,"30°20'N, 90°03'W",3 July 2019,N/A,"March 17, 1977",Buellia punctata (Hoffm.) Mass.,"Fontainebleau State Park, north shore of Lake Pontchartrain"
N/A,H. T. Lumbsch,USA,Arizona,On siliceous rocks,N/A,Acarospora,"San Carlos Lake, east exposed slopes above dam, just north of Coolidge",1994-07-14,1994-07-14,N/A,Typed,Nr. 10566 b,10566 b,Gila Co.,N/A,rock,no type status,H. T. Lumbsch,"33°11'N, 110°32'W",N/A,N/A,14.7.1994,Acarospora,"San Carlos Lake, E exposed slopes above dam, just N of Coolidge"
N/A,N. Hladun,Spanien,Catalunya,N/A,N/A,Acarospora,"Les Torruelles, bei Torroella de Fluvia, auf Grauwacke in Kalkfelsen",N/A,1983-05-24,Torroella de Fluvia,Typed,N/A,Nr. 925d,Prov. Gerona,H. T. Lumbsch & A. Henssen,rock,no type status,"N.Hladun, H.T. Lumbsch & A. Henssen",N/A,N/A,N/A,1983/05/24,Acarospora,"Les Torruelles, bei Torroella de Fluvia, bei Torella de Fluvià, auf Grauwacke in Kalkfelsen"
N/A,H. T. Lumbsch,Italien,Südtirol,An Silikatgestein,N/A,Bellemerea,"Gomagoi, east of the place",1983-05-10,1983-05-10,Gomagoi,Typed,N/A,8890,Vinschgau,N/A,rock,no type status,H.T. Lumbsch,N/A,N/A,N/A,10.5.1983,Bellemerea,"Italien, Südtirol, Vinschgau, Gomagoi, E des Ortes. An Silikatgestein."
N/A,T. Feuerer,Italien,Südtirol,Lichter Lärchen-Bestand auf Almgelände,N/A,Buellia schaereri DNOT.,"Dolomiten, Rosengarten-Gruppe, Purgametsch-Tal near the road between Nigerpaß and Tiers, near the turn-off to Tscharmin-Tal at Rungun",N/A,1977-10-12,N/A,Typed,N/A,282,N/A,H. Hertel & H. Kilias,bark,no type status,"T. Feuerer, H. Hertel & H. Kilias",N/A,N/A,1220 m.,12.X.1977,Buellia schaereri DNOT.,"Dolomiten, Rosengarten-Gruppe Purgametsch-Tal (an der Autostraße zwischen Nigerpaß und Tiers), nahe der Abzweigung des Sträßchens ins Tscharmin-Tal bei Rungun, 1220 m."
on Acer,Henry A. Imshaug,United States,Michigan,N/A,N/A,Xanthoria fallax (Hepp) Arn.,"Along road at Drummond airport, Section 25, Township 42 North, Range 5 East",1976-10-03,1976-10-03,Drummond Island,Typed,N/A,60155,Chippewa County,N/A,bark,no type status,Henry A. Imshaug,46° 01' N and 83° 44' W,N/A,N/A,3 October 1976,Xanthoria fallax (Hepp) Arn.,"CHIPEWA COUNTY (DRUMMOND ISLAND): Along road at Drummond airport, Sec. 25, T. 42 N., R. 5 E."
N/A,H. Mietzsch,Schweiz,Graubünden,Auf Erde,N/A,Baeomyces fungoides Sw.,"Marangun, Sursaas",1988-08-27,1988-08-27,Zernez,Typed,N/A,6246,Unterengadin,N/A,soil,no type status,H. Mietzsch,N/A,N/A,2150-2300 m,27.8.1988,Baeomyces fungoides Sw.,"Unterengadin, TK 25: 1218 Zernez, Marangun, Sursaas, 2150-2300 m alt."
N/A,H. Mietzsch,Schweiz,Graubünden,Locker an Gestein,N/A,Xanthoparmelia somloensis (Gyelnik) Hale,"Albula Valley, road from Latsch to Stugl",1989-08-26,1989-08-26,Savognin,Typed,N/A,6983,N/A,N/A,rock,no type status,H. Mietzsch,N/A,N/A,1600 m,26.8.1989,Xanthoparmelia somloensis (Gyelnik) Hale,"Albula-Tal, TK 25: 1236 Savognin, Straße von Latsch nach Stugl"
N/A,Aino Henssen,Schweiz,Graubünden,N/A,N/A,Xanthoria elegans (Link) Th. Fr.,Albulapaß on Dolomite,1971-08-29,1971-08-29,N/A,Typed,N/A,21 931 a,N/A,N/A,rock,no type status,Aino Henssen,N/A,N/A,2000 m ü.M.,29.8.1971,Xanthoria elegans (Link) Th. Fr.,"Graubünden, Albulapaß, 2000 m ü.M. auf Dolomit"
N/A,William L. Culberson,U.S.A.,Washington,Pineto (Pinus ponderosa),R. J. Salm,"Polycauliona polycarpa (Hoffmann) Frödén, Arup & Søchting",Riverside State Park,N/A,1996-08-09,Spokane,Typed,N/A,22403,Spokane County,N/A,bark,no type status,William L. Culberson,N/A,7 July 2019,N/A,9.VIII.1996,Xanthoria polycarpa (Ehrh.) Rieber,"In urbe Spokane, loco Riverside State Park. Ad ramunculos fruticis in Pineto (Pinus ponderosa)."
N/A,G. Follmann,Deutschland,Rheinland-Pfalz,zerstreut in der Oberinde der Lagerlappen von Hypogymnia physodes,G. Follmann,Abrothallus parmeliarum (SOMM.) ARN.,Heckengürtel am Südfuß des Schwirzheimer Kopfes zwischen Gerolstein und Prüm in der Hocheifel,1985-04-00,1985-04-00,N/A,Typed,N/A,N/A,N/A,N/A,bark,no type status,G. Follmann,N/A,IV/1985,450 m,IV/1985,Abrothallus parmeliarum (SOMM.) ARN. (anam. Vouauxiomyces santessonii HAWKSW.) Patellariaceae,"Deutschland, Rheinland-Pfalz: zerstreut in der Oberinde der Lagerlappen von Hypogymnia physodes (L.) NYL., 450 m, NW – SW, pH 6,0; Heckengürtel am Südfuß des Schwirzheimer Kopfes zwischen Gerolstein und Prüm in der Hocheifel"
N/A,H. T. Lumbsch,BRD,Rheinland-Pfalz,An Populus,R.J. Salm,Amandinea punctata (Hoffm.) Coppins & Scheid.,Ockenheimer Hörnchen,N/A,1987-05-24,6013 Bingen,Typed,N/A,5135 D,Landkreis Mainz/Bingen,E. Mietzsch,bark,no type status,H.T. Lumbsch & E. Mietzsch,N/A,3 July 2019,N/A,24.5.1987,Buellia punctata (Hoffm.) Massal.,"Tk 25: 6013 Bingen, Ockenheimer Hörnchen"
N/A,N/A,N/A,N/A,N/A,R. J. Salm,"Circinaria caesiocinerea (Nyl. ex Malbr.) A. Nordin, Savic & Tibell",[precise locality unknown],N/A,N/A,N/A,Mix of Handwritten and Typed,8000,MTB5608,N/A,N/A,N/A,no type status,N/A,N/A,3 July 2019,N/A,N/A,Aspicilia caesiocinerea Nyl. ex Malbr.,N/A
N/A,H. T. Lumbsch,BRD,Rheinland-Pfalz,An Mörtel,R. J. Salm,"Circinaria contorta (Hoffm.) A. Nordin, Savic & Tibell",Weg von Gau-Algesheim zum Ockenheimer Hörnchen,N/A,1987-05-24,Ingelheim am Rhein,Typed,N/A,5127 a,Landkreis Mainz-Bingen,E. Mietzsch,mortar,no type status,H.T. Lumbsch & E. Mietzsch,N/A,3 July 2019,N/A,24.5.1987,Aspicilia contorta,"TK 25: 6014 Ingelheim am Rhein, Weg von Gau-Algesheim zum Ockenheimer Hörnchen. An Mörtel."
N/A,H. T. Lumbsch,Deutschland,Hessen,An Silikatgestein,N/A,Xanthoparmelia conspersa (Ach.) Hale,Fels am Weilburger Bach,N/A,1989-11-19,Dotzheim,Typed,N/A,7103 f,Stadt Wiesbaden,E. Mietzsch & C.,rock,no type status,"H.T. Lumbsch, E. Mietzsch & C.",N/A,N/A,N/A,19.11.1989,Xanthoparmelia conspersa (Ach.) Hale,"TK 25: 5925 Wiesbaden, Dotzheim, Fels am Weilburger Bach. An Silikatgestein."
N/A,H. T. Lumbsch,Norwegen,Sogn og Fjordane,Alpine Matten,N/A,Arctoparmelia centrifuga,"Jotunheimen, along road 55 between Turtegrö and Hervassbu",2001-08-26,2001-08-26,N/A,Typed,N/A,12159,N/A,N/A,Silikatgestein,no type status,H.T. Lumbsch,N/A,N/A,1400 m,26.08.2001,Arctoparmelia centrifuga,"Jotunheimen, alpine Matten an der Straße 55 zwischen Turtegrö und Hervassbu"
Diplophyllum taxifolium + gemmae 68-1644a,R. M. Schuster,Canada,Newfoundland and Labrador,N/A,R. M. Schuster,Anastrophylum minutum,"Along Humber River, in Squires Memorial Park, near Route 1A",1968-08-17,1968-08-17,N/A,Typed,N/A,68-1644,N/A,N/A,N/A,no type status,Collected and Determined by R. M. Schuster,N/A,N/A,N/A,Aug. 17 68,Anastrophylum minutum + gem.,"Along Humber R., in Squires Memorial Park, near Rte 1A."
Cephalozia bicuspidata (L.) DUM.,R. M. Schuster,Greenland,South Greenland,N/A,R. M. Schuster,Anastrophylum minutum v.grandis,Frederiksdal,N/A,1982-07-03,Frederiksdal,Typed,S1,82-1049,N/A,K. Damsholt,N/A,no type status,R. M. Schuster & K. Damsholt,"60°00'N lat., 44°40'W. long.",1982,N/A,July 3.,Anastrophylum minutum (SCHREB.)SCHUST. v.grandis (GOTT.)SCHUST.,"Frederiksdal 60°00'N lat., 44°40'W. long."
Plagiochila tridenticulata Dum. (traces),R. M. Schuster,United States of America,North Carolina,N/A,N/A,Frullania asagrayana Mont.,"Balsam Gap, approximately 25 miles north of Asheville, along Blue Ridge Parkway",1951-06-30,1951-06-30,N/A,Typed,N/A,9067,N/A,N/A,bark,no type status,R. M. Schuster,N/A,N/A,5220-5260 feet,June 30 1951,"Frullania asagrayana Mont., male, can per. Plagiochila tridenticulata Dum. (traces)","Balsam Gap, N.C., ca. 25 mi. n. of Asheville, along Blue Ridge Parkway, 5220-5260 feet on Abies fraseri"
N/A,R. M. Schuster,United States,Arkansas,N/A,R. M. Schuster,Frullania asagrayana,"Ozark National Forest, Barkshed Camp, approximately 10 miles east of Big Flat",1979-04-14,1979-04-14,N/A,Typed,N/A,79-488,Stone County,N/A,bark,no type status,R. M. Schuster,N/A,N/A,N/A,April 14 19 79,Frullania asagrayana,"Ozark Natl. Forest. Barkshed Camp, ca. 10 mi E. of Big Flat."
N/A,John J. Engel,New Zealand,Auckland Prov.,"On clayey bank. Clay banks with Blechnum novae-zelandiae overhang, Weinmannia and Dicksonia squarrosa dominant canopy and occasional Leptospermum scoparium.",N/A,Telaranea lindenbergii var. papillata Engel & Merr.,"Whareorino Forest, start of track to Leitch's Hut",N/A,2003-02-12,N/A,Typed,1173554,23773,N/A,"Matt von Konrat, John E. Braggins",soil,holotype,"John J. Engel, Matt von Konrat & John E. Braggins","38° 24.5' S, 174° 49.8' E",N/A,280 m,12 February 2003,Telaranea lindenbergii var. papillata Engel & Merr.,"Whareorino Forest, start of track to Leitch's Hut"
N/A,Marko Lewis,Ecuador,Imbabura,Wet bank of runoff ravine,V. C. Steere,Kindbergia praelonga (Hedw.) Ochyra,"East side of Cerro Cotacachi, 0 to 2 kilometers North of Otavalo, 0 to 2 kilometers West",1978-11-22,1978-11-21,N/A,Typed,1065158,76-2684,N/A,N/A,N/A,no type status,Marko Lewis,N/A,N/A,3750 m.,21-22 November 1978,Kindbergia praelonga (Hedw.) Ochyra,"E. side of Cerro Cotacachi, 0-2 km N of Otavalo, 0-2 km W"
N/A,Marko Lewis,Ecuador,Azuay,Stone wall,Efrain De Luna,Hedwigia ciliata (Hedw.) P. Beauv.,"Area Nacional de Recreación ""Cajas"", forested hills south of ""Surrocucho"" (Laguna Llaviuco), south of Sayausí",1978-12-08,1978-12-08,N/A,Typed,1065433,78-3163,N/A,N/A,N/A,no type status,Marko Lewis,N/A,1992,3240 m.,8 December 1978,Hedwigia ciliata (Hedw.) P. Beauv.,"Prov. Azuay: Area Nacional de Recreación ""Cajas"", forested hills S. of ""Surrocucho"" (Laguna Llaviuco), S of Sayausí, 255°S."
N/A,L. Benoist,N/A,N/A,N/A,Erwin de Luna,Hedwigia ciliata (Hedw.) P. Beauv.,environs de Quito,N/A,N/A,N/A,Typed,1039453,4659,N/A,et al.,soil,no type status,"L. Benoist, et al.",N/A,1982,N/A,N/A,Hedwigia albicans (Web.) Lindb.,environs de Quito
N/A,Benoist,Ecuador,N/A,N/A,Efraín De Luna,Hedwigia ciliata (Hedw.) P. Beauv.,"Sur rochers d'andésite, Quito",1930-07-27,1930-07-27,Quito,Typed,1063455,27,N/A,N/A,rock,no type status,Benoist et al.,N/A,1992,N/A,"1930, VII, 27",Hedwigia ciliata (Hedw.) P. Beauv.,"Sur rochers d'andésite, Quito"
N/A,R. S. Williams,Bolivia,N/A,N/A,Erwin de Luna,Hedyotis ciliata (Hedw.) F. Beauv.,near Pilcomayo,N/A,1902-04-30,N/A,Typed,1063451,2150,N/A,N/A,soil,no type status,R. S. Williams,N/A,1992,3700 meters,"April 30, 1902",Hedyotis albicans (Wedd.) K. Schum.,"near Pilcomayo, 3700 meters"
