Dataset Source,accessURI,modifiedBy,verifiedBy,catalogNumber,verbatimCollectors,collectedBy,secondaryCollectors,recordNumber,verbatimEventDate,minimumEventDate,maximumEventDate,verbatimIdentification,latestScientificName,identifiedBy,verbatimDateIdentified,associatedTaxa,country,firstPoliticalUnit,secondPoliticalUnit,municipality,verbatimLocality,locality,habitat,substrate,verbatimElevation,verbatimCoordinates,otherCatalogNumbers,originalMethod,typeStatus
EMu Field Museum | African Plants Portal,https://fm-digital-assets.fieldmuseum.org/2433/459/V0573776F.jpg,,,0000_V0573776F.jpg,E. Heller & Mearns,E. Heller,Mearns,8752,"Jan. 16 to Feb. 2, 1909",1909-01-16,1909-02-02,Cyperus maculatus Boeck.,Cyperus maculatus Boeck.,N/A,19.10.1912,N/A,Congo Free State,N/A,N/A,N/A,"""Rhino Camp"", Bahr el Jebel, Lado Enclave, Congo Free State","""Rhino Camp"", Bahr el Jebel, Lado Enclave",N/A,N/A,N/A,N/A,463860,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/1121/693/C0616676F.jpg,,,0093_C0616676F.jpg,J. Dorantes,J. Dorantes,N/A,455,01/01/1972,1972-01-01,1972-01-01,Woodwardia spinulosa Mart. & Gal.,Woodwardia spinulosa Mart. & Gal.,N/A,N/A,N/A,Mexico,Veracruz,Jalapa,Llano del Gato,"Llano del Gato, Edo. Veracruz Mun, Jalapa, Mapa 38.5 29.0","Llano del Gato, Edo. Veracruz Mun, Jalapa",Bosque caducifolio,soil,N/A,Mapa 38.5 29.0,P005051,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/1086/214/C0644079F.jpg,,,0094_C0644079F.jpg,"A. Monteagudo, C. Mateo, G. Ortiz",A. Monteagudo,"C. Mateo, G. Ortiz",4909,10 Abril 2003,2003-04-10,N/A,Blechnum occidentale L.,Blechnum occidentale L.,H. van der Werff,2005,N/A,Peru,Pasco,Oxapampa,N/A,"Distrito Pozuzo, Parque Nacional Yanachaga Chemillen Pozuzo Sector Pan de Azúcar, Zona de Recuperación. Bosque ribereño.","Distrito Pozuzo, Parque Nacional Yanachaga Chemillen Pozuzo Sector Pan de Azúcar, Zona de Recuperación",Bosque ribereño,N/A,1100-1250m,10°15' 75°13'W,Nº 2287355,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/1098/449/C0658238F.jpg,,,0095_C0658238F.jpg,Ynes Mexia,Ynes Mexia,N/A,8066,"May 14,1936",1936-05-14,1936-05-14,Adiantum pulverulentum L.,Adiantum pulverulentum L.,Copeland,N/A,N/A,Peru,Cuzco,La Convención,N/A,Departamento Cuzco. Provincia La Convención; upper valley of Rio Sanabry; western affluent of Vilcabamba; along steam in virgin forest.,Upper valley of Rio Sanabry; western affluent of Vilcabamba; along stream,Virgin forest,N/A,Alt. about 1800 m.,N/A,1005396,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/1079/847/C0637474F.jpg,,,0096_C0637474F.jpg,J.I. Calzada,J.i. Calzada,N/A,5759,27-enero-1980,1980-01-27,N/A,Diplazium francoisii Lellinger,Diplazium francoisii Lellinger,Robert G. Stolze,1983,Liquidambar styraciflua; Quercus sp.; Alnus sp.,México,Veracruz,Xico,N/A,Ranchoita de Coateitlán.,Ranchoita de Coateitlán,Bosque Caducifolio muy húmedo,soil,1800-2000 m.s.n.m.,19°29' N 97°04' W,1894963,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/1079/274/C0636906F.jpg,,,0097_C0636906F.jpg,Antonio Molina R.,Antonio Molina,N/A,1427,"Nov. 4, 1948",1948-11-04,N/A,Thelypteris piloso-hispida (Hook.) Morton,Thelypteris rudis (Kunze) Proctor,Alan R. Smith,1974,N/A,Honduras,N/A,N/A,N/A,"Helaecho arboreso. Bosque latifoliado. margen de la Quebrada, caminos flotables, Laberinto y Mts. Uyuca 8 Km. 114° Rumbo S.E. de Tegucigalpa on route to Danlí.","Helaecho arboreso, margen de la Quebrada, caminos flotables, Laberinto y Mts. Uyuca, 8 kilometers 114° southeast of Tegucigalpa on route to Danlí.",Bosque latifoliado,N/A,Alt. 1800 m.,Longitude 87° W. and Latitude 14° N.,1394536,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/1072/569/C0665739F.jpg,,,0098_C0665739F.jpg,"Blomquist, H.J. & Aet.","Blomquist, H.J.",Aet.,2911,10 setiembre 1939,1939-09-10,N/A,Thelypteris euscleris (Sod.) R.M. Tryon,Thelypteris euscleris (Sod.) R.M. Tryon,R.G. Stolze,19 92,N/A,Peru,Cuzco,Paucartambo,N/A,"Bosque de Nubes, Rio la Union, Region de Saja","Bosque de Nubes, Rio la Union, Region de Saja",Helechos,soil,1700-1800 m,N/A,2112158,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/1137/337/C0626158F.jpg,,,0099_C0626158F.jpg,"Louis O. Williams, Antonio Molina R., Terua P. Williams, D. Gibson, and Chester Laskowski",Louis O. Williams,"Antonio Molina R., Terua P. Williams, D. Gibson, Chester Laskowski",27621,"May 15, 1966",1966-05-15,N/A,Polypodium blepharodes Maxon,Grammitis blepharodes (Maxon) Seymour,R. Stolze,1965,N/A,Nicaragua,Matagalpa,N/A,N/A,"Montane rain-forest, or cloud forest, Dsipartio de Potter, Sta. María de Ostuma, Cordillera Central de Nicaragua, Departamento of Matagalpa, 1400 m","Dispartio de Potter, Sta. María de Ostuma, Cordillera Central de Nicaragua","Montane rain-forest, or cloud forest",bark,1400 m,N/A,1626179,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/1072/487/C0665657F.jpg,,,0100_C0665657F.jpg,Ken Young & Mark Eisenberg 265,Ken Young,Mark Eisenberg,265,20 April 1981,1981-04-20,N/A,Thelypteris (subg. Amauropelta) thelypteroides (Kunze) R. M. Tryon & A. F. Tryon,Thelypteris thelypteroides (Kunze) R. M. Tryon & A. F. Tryon,A. R. Smith,N/A,N/A,Peru,Cuzco,La Convencion,N/A,"Dept. Cuzco, Prov. La Convencion. Just east of Quillabamba. Finca Chichina; cocoa; coffee; yuca; mango; bananas; corn crops 9CWM.","Just east of Quillabamba, Finca Chichina",N/A,N/A,Alt. 1300–1400 m.,N/A,2038794,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/330/762/C0045536F.jpg,,,0101_C0045536F.jpg,Thomas G. Lammers,Thomas G. Lammers,N/A,10674,9 May 1998,1998-05-09,1998-05-09,Dryopteris carthusiana (Vill.) H.P. Fuchs,Dryopteris carthusiana (Vill.) H.P. Fuchs,N/A,N/A,N/A,United States of America,Illinois,Cook,N/A,"Cook Co.: Palos Twp. Swallow Cliff Woods Forest Preserve, southwest of the jct. of US Hwy 45 and State Hwy 83. Local in mesic maple-basswood forest on steep slopes of deep ravine south of toboggan run.","Swallow Cliff Woods Forest Preserve, southwest of the junction of US Highway 45 and State Highway 83, on steep slopes south of toboggan run.",Mesic maple-basswood forest on steep slopes of deep ravine,soil,N/A,N/A,2228497,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/1139/892/C0627900F.jpg,,,0102_C0627900F.jpg,"Antonio Molina R, Albertina R. Molina",Antonio Molina R,Albertina R. Molina,121562,"Mayo 22, 1963",1963-05-22,1963-05-22,Polypodium montigenum Maxon,Polypodium montigenum Maxon,A. Molina R.,N/A,N/A,El Salvador,Santa Ana,N/A,N/A,"Bosque abierto de Montaña Montecristo, Department Santa Ana, 2000 m.",Bosque abierto de Montaña Montecristo,N/A,N/A,Alt. 2000 m.,N/A,1661895,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/217/945/V0082645F.jpg,,,0103_V0082645F.jpg,M. O. Dillon,M. O. Dillon,N/A,5376,21 Dec 1987,1987-12-21,N/A,Notholaena mollis Kunze,Notholaena mollis Kunze,N/A,N/A,N/A,Chile,Antofagasta,N/A,N/A,"Cerro Perales, ca. 85 km E of Taltal, 600-850 m alt.","Cerro Perales, approximately 85 kilometers east of Taltal","Terrestrial, growing in rock crevices",rock,600-850 m alt.,"(25°25' S, 70°25' W)",N° 2010984,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/1073/191/C0666362F.jpg,,,0104_C0666362F.jpg,Rolla M. & Alice F. Tryon,Rolla M. Tryon,Alice F. Tryon,6566,23 October 1965,1965-10-23,N/A,"Thelypteris rudis (Poir.) A.R. Smith, ined. sensu Spraguei",Thelypteris rudis (Poir.) A.R. Smith,Alan R. Smith,"1979, 1989",N/A,Peru,Ancash,N/A,N/A,"Road from Huaras to Cusma, west valley.","Road from Huaras to Cusma, west valley.",damp shaded rocks,rock,2800 m.,N/A,1833066,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/1073/037/C0666207F.jpg,,,0105_C0666207F.jpg,E. P. Killip & A. C. Smith,Ellsworth P. Killip,Albert C. Smith,24714,"September 20-29, 1929",1929-09-20,1929-09-29,Thelypteris megalolepis (Schl.) C. Chr.,Thelypteris pentagona (Desv.) C.V. Morton,Alan R. Smith,1989,N/A,Peru,Loreto,N/A,Soledad,"Dept. Loreto: Soledad, on Rio Itaya; about 100 meters dense forest","Soledad, on Rio Itaya",Dense forest,Soil,N/A,N/A,1520628,Typed,No type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/1073/036/C0666206F.jpg,,,0106_C0666206F.jpg,E. P. Killip & A. C. Smith,E. P. Killip,A. C. Smith,24747,"October 5, 1926",1926-10-05,N/A,Dryopteris pellucida (Schrk.) Urb.,Thelypteris pennata (Poir.) C. Morton,Alan R. Smith,August 1989,N/A,Peru,Loreto,N/A,Santa Antonio,"Dept. Loreto: Santa Antonio, on Rio Itaya; alt. about 100 meters; dense forest","Santa Antonio, on Rio Itaya",Dense forest,Soil,alt. about 100 meters,N/A,1526067,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/1073/033/C0666203F.jpg,,,0107_C0666203F.jpg,Macbride & Featherstone,Macbride,Featherstone,1622,"July 8-12, 1922",1922-07-08,1922-07-12,Dryopteris Peruviana (Hk.) C.Chr.,Thelypteris pavoniana (Kl.) Tryon,Alan R. Smith,1979,N/A,Peru,N/A,N/A,N/A,Summit of ridge of the pass.,[precise locality unknown],about 9000 ft shrub formation,soil,about 9000 ft,N/A,518129,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/1073/032/C0666202F.jpg,,,0108_C0666202F.jpg,J. J. Wurdack,J. J. Wurdack,N/A,705,June 1962,1962-06-00,1962-06-00,Thelypteris (Thelypteris) pavoniana (Klotzsch) det. D. B. Lellinger 1966,Thelypteris pavoniana (Klotzsch) Tryon,Alan R. Smith,"1979, 1989",N/A,Peru,Amazonas,Chachapoyas,N/A,"Upper slopes of Puma-urcu east-southeast of Chachapoyas, elev. 2700-3000 m.",Upper slopes of Puma-urcu east-southeast of Chachapoyas,On banks,soil,2700-3000 m.,N/A,1647265,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/1072/942/C0666112F.jpg,,,0109_C0666112F.jpg,G. Tessmann,G. Tessmann,N/A,5202,"Aug. 13, 1956",1956-08-13,N/A,Thelypteris opulenta (Kaulf.) Fosberg,Thelypteris opulenta (Kaulf.) Fosberg,Alan R. Smith,"1979, 1990",N/A,Peru,Loreto,Maynas,N/A,"Rio Itaya, 10 km. S. of Iquitos. In old banana planting.","Rio Itaya, 10 kilometers south of Iquitos, in old banana planting","Fern juice leaf, sterile pinnae, fertile pinnae.",N/A,N/A,N/A,1587072,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/1081/508/C0639123F.jpg,,,0110_C0639123F.jpg,"Louis O. Williams, Antonio Molina R., Terua P. Williams",Louis O. Williams,"Antonio Molina R., Terua P. Williams",23634,1-10 January 1968,1968-01-01,1968-01-10,Lycopodium clavatum L.,Lycopodium clavatum L.,"William C. Moran, D.B. Lellinger",1964,N/A,Nicaragua,Matagalpa,N/A,San María de Ostuma,"Cloud forest area, San María de Ostuma, Cordillera Central de Nicaragua, between Matagalpa & Jinotega, Department of Matagalpa","Cloud forest area, San María de Ostuma, Cordillera Central de Nicaragua",Terrestrial on open bank,soil,1300-1800 meters,N/A,1604388,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/1748/926/C0675553F.jpg,,,0111_C0675553F.jpg,"John T. Atwood, Jr.",John T. Atwood,N/A,77105,"8 Feb, 1977",1977-02-08,1977-02-08,Adiantum trapeziforme L.,Adiantum sulphureum Kaulf.,R. C. Moran,2012,N/A,Nicaragua,Granada,N/A,N/A,"Volcan Mombacho, Lower cloud forest near Finca Cuirre.","Volcan Mombacho, near Finca Cuirre",Lower cloud forest,N/A,N/A,N/A,1868242,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/1749/002/C0675619F.jpg,,,0112_C0675619F.jpg,George B. Hinton et al.,George B. Hinton,N/A,7644,24-31-35,1935-03-24,1935-03-31,Adiantum trapeziforme L.,Adiantum ebracteatum McCarthy & Hickey,M. McCarthy,2012,N/A,Mexico,Temascaltepec,N/A,N/A,Mina,[precise locality unknown],dry barranca,soil,N/A,N/A,954369,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/1751/323/C0355438F.jpg,,,0113_C0355438F.jpg,R.A. Maas Geesteranus,R.A. Maas Geesteranus,N/A,5744,dd. 12-VIII-59,1959-08-12,1959-08-12,Asplenium sandersonii Hook.,Asplenium sandersonii Hook.,R. Faden,1976,N/A,Kenya,Nyanza Province,Kericho Distr.,N/A,"South Western Mau Forest Reserve, camp 6, lat. 0°36'30"" S., long. 35°10'20"" E.","South Western Mau Forest Reserve, camp 6","Riparian-woodland along the river Itare, among others with Conopodium holstii",soil,1920 m s.m.,"lat. 0°36'30"" S., long. 35°10'20"" E.",1445440,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/1824/625/C0359489F.jpg,,,0114_C0359489F.jpg,S. López P. & E. Calderon Esteban,S. López P.,E. Calderon Esteban,N/A,19.VI.69,1969-06-19,N/A,Lophosoria quadripinnata (J.F. Gmel.) C. Chr. var quadripinnata,Lophosoria quadripinnata (J.F. Gmel.) C. Chr. var quadripinnata,M. Véliz & J.M. Véliz,22/IV/2005,N/A,Guatemala,Jalapa,N/A,Aldea San Raymundo,"Aldea San Raymundo, río de Manzanillos","Aldea San Raymundo, río de Manzanillos",Creciendo dentro de bosque de Quercus sp.,Soil,2800 msnm,"14°53' 47"" N; 90° 16' 07"" O",2298970,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/1752/612/C0662895F.jpg,,,0115_C0662895F.jpg,"Chas. F. Millspaugh, W.C. Cowan",Chas. F. Millspaugh,W.C. Cowan,893,Jan. 20-Feb. 6.,1905-01-20,1905-02-06,Asplenium dentatum L.,Asplenium dentatum L.,N/A,N/A,N/A,Jamaica,N/A,N/A,Port Antonio,Port Antonio; Jan. 20-Feb. 6.,[precise locality unknown],N/A,N/A,N/A,N/A,1062a (handwritten number),Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/1847/286/C0363828F.jpg,,,0116_C0363828F.jpg,T. G. Yuncker,T. G. Yuncker,N/A,"No 17,429","Nov. 17, 1957",1957-11-17,1957-11-17,Lycopodium cernuum L.,Lycopodium cernuum L.,N/A,N/A,N/A,Jamaica,St. Andrew,N/A,N/A,"Scrambling over side of cut, along trail near Bellevue.",trail near Bellevue,Trail near Bellevue,Soil,Alt. 3000-4000 ft.,N/A,N/A,Typed,No type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/1847/445/C0363985F.jpg,,,0117_C0363985F.jpg,Carvalho 2092,Carvalho,N/A,2092,25-IV-1986,1986-04-25,N/A,Lycopodiella cernua (L.) Pic. Serm.,Lycopodiella cernua (L.) Pic. Serm.,J. Fernández Casas,1991,N/A,Equatorial Guinea,Bioko,Basile,Malabo,"Malabo - Basile, km 13, cerca de Basile, 32NMK7780, 390 m, márgenes de la carretera","Malabo - Basile, km 13, near Basile",márgenes de la carretera,N/A,390 m,32NMK7780,N/A,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/1847/568/C0363442F.jpg,,,0118_C0363442F.jpg,Henk van der Werff 11699,Henk van der Werff,N/A,11699,12 June 1990,1990-06-12,N/A,Diplazium assimile (C. Presl) Bedd.,Diplazium assimile (C. Presl) Bedd.,Henk van der Werff,1991 (MO),N/A,Australia,Queensland,N/A,N/A,"Boonjee logging area, at base of Mt. Bartle Frere. Rainforest.","Boonjee logging area, at base of Mount Bartle Frere",Rainforest,soil,N/A,145°43'E 17°25'S,N/A,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/2128/136/C0378283F.jpg,,,0119_C0378283F.jpg,M. Togawa & K. Iwatsuki,M. Togawa,K. Iwatsuki,11550,"July 28, 1956",1956-07-28,N/A,Diplazium umbilicatum (Tag.) Tog.,Diplazium umbilicatum (Tag.) Tog.,N/A,N/A,N/A,Japan,Kyushu,Kagoshima,N/A,"Kyushu. Pref. Kagoshima: western slope of Mt. Koyachi, south of Kanoya City.","western slope of Mt. Koyachi, south of Kanoya City",Wet rocky slope in densely wooded ravine,N/A,N/A,N/A,1475055,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/1862/027/C0364726F.jpg,,,0120_C0364726F.jpg,W. Takeuchi & J. Wiakabu,W. Takeuchi,J. Wiakabu,9366,"February 5, 1994",1994-02-05,N/A,Blechnum ledermannii Brause,Blechnum ledermannii Brause,N/A,N/A,N/A,Papua New Guinea,New Ireland,N/A,N/A,"On expedition road; Hans Meyer Range, Site 4 in the expedition report.","Hans Meyer Range, Site 4","Hygrophytic upland forest dominated by bryophyte, and fern growth",soil,c. 1800 m,4°25' S x 152°36' E,026-0268-A,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/1864/937/C0366013F.jpg,,,0121_C0366013F.jpg,Tagawa & Iwatsuki 886,Tagawa,Iwatsuki,886,"May 20, 1956",1956-05-20,N/A,Dryopteris crassirhizoma Nakai,Dryopteris crassirhizoma Nakai,N/A,N/A,N/A,Japan,N/A,N/A,N/A,N/A,[precise locality unknown],N/A,N/A,N/A,N/A,N/A,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/1863/394/C0366453F.jpg,,,0122_C0366453F.jpg,Coll. J. Ohwi,J. Ohwi,N/A,N/A,April 1951,1951-04-00,1951-04-00,Polystichum tripteron Presl,Polystichum tripteron Presl,N/A,N/A,N/A,Japan,Honshu,N/A,Jumoji in Sagami,Honcu: Jumoji in Sagami,Honcu: Jumoji in Sagami,N/A,N/A,N/A,N/A,1464206,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/1862/882/C0364207F.jpg,,,0123_C0364207F.jpg,Father M. Vanoverbergh,Father M. Vanoverbergh,N/A,3591,April 13,"[Unsure about the year, use ""YYYY-04-13""]","[Unsure about the year, use ""YYYY-04-13""]",Asplenium uncinatum Kaulf.,Asplenium uncinatum Kaulf.,N/A,N/A,N/A,Philippines,Bontoc Subprovince,N/A,N/A,"Bontoc Subprovince, Luzon.","Bontoc Subprovince, Luzon.",[precise habitat unknown],[precise substrate unknown],N/A,N/A,393429,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/1897/625/C0376117F.jpg,,,0124_C0376117F.jpg,R. B. & A. F. Faden,R. B. Faden,A. F. Faden,77/53,5 Jan. 1977,1977-01-05,N/A,Pyrossia lanceolata (L.) Farw.,Pyrossia lanceolata (L.) Farw.,D. B. Lellinger,N/A,N/A,Ceylon,N/A,N/A,N/A,"North Western Province, Kurunegala District, Dolukanda Hill, ca. 7'37"", 80°24'30""E.",Dolukanda Hill,Forest,N/A,Alt. 600 m,"ca. 7'37"", 80°24'30""E.",2014294,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/1904/108/C0377881F.jpg,,,0125_C0377881F.jpg,"Albert N. Steward & C. Y. Chiao, collected by C. I. Chao",Albert N. Steward,"C. Y. Chiao, C. I. Chao",3444,"Sept, 6, 1931",1931-09-06,N/A,Dryopteris squamifolia (Brause) C. Chr.,Thelypteris squamigera (Coll. ex Hand.-Mazz.) Ching,N/A,N/A,N/A,China,Kweichow Province,N/A,N/A,"Mont Hwang Tze Tung to Ho Yen Shan, Via Lung Tsao","Mont Hwang Tze Tung to Ho Yen Shan, Via Lung Tsao","Moist brushy slopes, soil black",soil,alt. 880 m,N/A,779919,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/1909/756/C0382365F.jpg,,,0126_C0382365F.jpg,J.F. Barcelona,J.f. Barcelona,N/A,48,Nov.-1989,1989-11-00,1989-11-00,Selaginella philippina Spring,Selaginella philippina,Julie F. Barcelona,Nov.-1989,N/A,Philippines,Visayas,N/A,Antique,Mt. Madja-as,Mt. Madja-as,"Egwa, shaded & moist areas",soil,N/A,N/A,PNH No. 19235,Mix of Handwritten and Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/1896/920/C0368029F.jpg,,,0127_C0368029F.jpg,L. & A. Fay,L. Fay,A. Fay,1206,11 Apr 1985,1985-04-11,N/A,Drynaria laurentii (Christ.) Hieron.,Drynaria laurentii (Christ.) Hieron.,N/A,N/A,N/A,Liberia,N/A,N/A,N/A,"Cuttington University College. On tree trunk about 10' from ground; common in groves of rubber trees, on trunks.",Cuttington University College,"On tree trunk about 10 feet from ground; common in groves of rubber trees, on trunks",bark,Alt. 250 m.,N/A,2111378,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/1990/120/C0356535F.jpg,,,0128_C0356535F.jpg,H. St. John,H. St. John,N/A,16662,"Aug. 26, 1934",1934-08-26,1934-08-26,Hymenophyllum reinwardtii,Hymenophyllum reinwardtii,E.B. Copeland,N/A,N/A,Austral Islands,Raivavae,N/A,N/A,"Northwest slope of Teavaroa, Teti'aroa woods",Northwest slope of Teavaroa,"On mossy tree limb, epiphytic",bark,altitude 350 meters,N/A,1435764,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/1995/841/C0383576F.jpg,,,0129_C0383576F.jpg,T. G. Yuncker,T. G. Yuncker,N/A,"18,561","Mar. 30, 1958",1958-03-30,1958-03-30,Selaginella plana (Divers) Hieron.,Selaginella plana (Divers) Hieron.,N/A,N/A,N/A,Jamaica,Portland,N/A,N/A,"On wet embankment along trail, rain forest, John Crow Mts., 1.5-2 miles southwest of Ecclesdown.","On wet embankment along trail, John Crow Mountains, 1.5-2 miles southwest of Ecclesdown",rain forest,soil,Alt. 1500-2500 ft.,N/A,1481955,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/1982/572/C0383180F.jpg,,,0130_C0383180F.jpg,Salita alla Boschetta presso Sospello in Valdesia 1871. A. Castelli,A. Castelli,N/A,N/A,1871,1871-00-00,1871-00-00,Lycopodium complanatum L.,Lycopodium complanatum L.,Joan H. Wicke,1962,N/A,Italy,N/A,N/A,N/A,Salita alla Boschetta presso Sospello in Valdesia,Salita alla Boschetta near Sospello in Valdesia,N/A,N/A,N/A,N/A,823402,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/1991/498/C0358423F.jpg,,,0131_C0358423F.jpg,G.J. Chamberlain,G.J. Chamberlain,N/A,N/A,"Oct. 15, 1911",1911-10-15,1911-10-15,Trichomanes reniforme,Trichomanes reniforme,N/A,N/A,N/A,New Zealand,N/A,N/A,Ohakune,Ohakune,Ohakune,N/A,N/A,N/A,N/A,1407795,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/2116/918/C0662992F.jpg,,,0132_C0662992F.jpg,"R. L. Dunn, H. A. Hespenheide, D. R. Wiseman",R. L. Dunn,"H. A. Hespenheide, D. R. Wiseman",18105,2 August 1964,1964-08-02,N/A,Cnemidaria grandifolia (Willd.) Proctor var. grandifolia.,Cnemidaria grandifolia (Willd.) Proctor var. grandifolia,Robert G. Stolze,1971,N/A,"Dominica, West Indies",Saint Paul,N/A,N/A,Disturbed rainforest in the upper Layou Valley about 2 miles from Clarke Hall towards Pont Cassé.,"Upper Layou Valley, 2 miles from Clarke Hall towards Pont Cassé.",Disturbed rainforest,N/A,N/A,N/A,1670026,Typed,no type status
EMu Field Museum | Pteridophyte Portal,https://fm-digital-assets.fieldmuseum.org/2128/029/C0377971F.jpg,,,0133_C0377971F.jpg,R.B. A.J.Garden,R.B.,A.J.Garden,N/A,2 Jan 1977,1977-01-02,N/A,Trichoneura weissii Stendel.,Thelypteris,N/A,N/A,N/A,Ceylon,Central Province,Nuwara Eliya District,N/A,"between mile posts 45/3 and 45/4 on Nuwara Eliya-Kandy road, 6°59'50"" 80°45'E.",between mile posts 45/3 and 45/4 on Nuwara Eliya-Kandy road,Shady moist bank near stream,soil,ca. 1950 m,"6°59'50"" 80°45'E",N° 2089703,Typed,no type status
EMu Field Museum | Mycology Collections Portal,https://fm-digital-assets.fieldmuseum.org/2161/729/C0272257F.jpg,,,0134_C0272257F.jpg,leg. H. et P. Sydow,H. Sydow,P. Sydow,67,14. 8. 1903,1903-08-14,1903-08-14,"Entyloma crastophilum Sacc. Michelia I, p. 540; Sacc. Syll. VII, p. 491",Entyloma crastophilum Sacc.,N/A,N/A,N/A,Germany,Sachsen,N/A,Zwiesel bei Schmilka,"am ""Grossen Winterberge“ Zwiesel bei Schmilka","Grossen Winterberge, Zwiesel bei Schmilka",Auf Blättern von Holcus lanatus,leaves,N/A,N/A,C0272257F,Typed,no type status
EMu Field Museum | Mycology Collections Portal,https://fm-digital-assets.fieldmuseum.org/2161/795/C0272323F.jpg,,,0135_C0272323F.jpg,"O. Mattirolo, comm. G. Lagerheim",O. Mattirolo,G. Lagerheim,876,27/9 1895,1895-09-27,N/A,Neovossia Moliniae (Thüm.) Körn.,Neovossia Moliniae (Thüm.) Körn.,N/A,N/A,Moliniae coeruleae,Italia,Como,N/A,Rodero,"Rodero, prov. Como in ovarii Moliniae coeruleae",ovarii Moliniae coeruleae,N/A,N/A,N/A,N/A,C0272323F,Typed,no type status
